# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
13/01/2021 07:00:00;3.186;4
13/01/2021 08:00:00;1.942;4
13/01/2021 09:00:00;1.055;4
13/01/2021 10:00:00;0.821;4
13/01/2021 11:00:00;1.404;4
13/01/2021 12:00:00;2.572;4
13/01/2021 13:00:00;3.767;4
13/01/2021 14:00:00;4.658;4
13/01/2021 15:00:00;5.243;4
13/01/2021 16:00:00;5.417;4
13/01/2021 17:00:00;5.252;4
13/01/2021 18:00:00;4.696;4
13/01/2021 19:00:00;3.708;4
13/01/2021 20:00:00;2.486;4
13/01/2021 21:00:00;1.408;4
13/01/2021 22:00:00;0.928;4
13/01/2021 23:00:00;1.271;4
14/01/2021 00:00:00;2.346;4
14/01/2021 01:00:00;3.644;4
14/01/2021 02:00:00;4.734;4
14/01/2021 03:00:00;5.457;4
14/01/2021 04:00:00;5.69;4
14/01/2021 05:00:00;5.58;4
14/01/2021 06:00:00;5.15;4
14/01/2021 07:00:00;4.283;4
14/01/2021 08:00:00;3.027;4
14/01/2021 09:00:00;1.79;4
14/01/2021 10:00:00;0.991;4
14/01/2021 11:00:00;0.957;4
14/01/2021 12:00:00;1.726;4
14/01/2021 13:00:00;2.941;4
14/01/2021 14:00:00;4.113;4
14/01/2021 15:00:00;4.993;4
14/01/2021 16:00:00;5.413;4
14/01/2021 17:00:00;5.381;4
14/01/2021 18:00:00;5.07;4
14/01/2021 19:00:00;4.416;4
14/01/2021 20:00:00;3.365;4
14/01/2021 21:00:00;2.153;4
14/01/2021 22:00:00;1.217;4
14/01/2021 23:00:00;0.948;4
15/01/2021 00:00:00;1.484;4
15/01/2021 01:00:00;2.605;4
15/01/2021 02:00:00;3.897;4
15/01/2021 03:00:00;4.967;4
15/01/2021 04:00:00;5.555;4
15/01/2021 05:00:00;5.634;4
15/01/2021 06:00:00;5.356;4
15/01/2021 07:00:00;4.834;4
15/01/2021 08:00:00;3.885;4
15/01/2021 09:00:00;2.627;4
15/01/2021 10:00:00;1.477;4
15/01/2021 11:00:00;0.867;4
15/01/2021 12:00:00;1.022;4
15/01/2021 13:00:00;1.878;4
15/01/2021 14:00:00;3.185;4
15/01/2021 15:00:00;4.361;4
15/01/2021 16:00:00;5.103;4
15/01/2021 17:00:00;5.279;4
15/01/2021 18:00:00;5.1;4
15/01/2021 19:00:00;4.791;4
15/01/2021 20:00:00;4.11;4
15/01/2021 21:00:00;3.041;4
15/01/2021 22:00:00;1.934;4
15/01/2021 23:00:00;1.257;4
16/01/2021 00:00:00;1.202;4
16/01/2021 01:00:00;1.835;4
16/01/2021 02:00:00;3.085;4
16/01/2021 03:00:00;4.346;4
16/01/2021 04:00:00;5.252;4
16/01/2021 05:00:00;5.589;4
16/01/2021 06:00:00;5.494;4
16/01/2021 07:00:00;5.236;4
16/01/2021 08:00:00;4.628;4
16/01/2021 09:00:00;3.633;4
16/01/2021 10:00:00;2.478;4
16/01/2021 11:00:00;1.57;4
16/01/2021 12:00:00;1.18;4
16/01/2021 13:00:00;1.491;4
16/01/2021 14:00:00;2.485;4
16/01/2021 15:00:00;3.773;4
16/01/2021 16:00:00;4.795;4
16/01/2021 17:00:00;5.303;4
16/01/2021 18:00:00;5.271;4
16/01/2021 19:00:00;5.014;4
16/01/2021 20:00:00;4.564;4
16/01/2021 21:00:00;3.799;4
16/01/2021 22:00:00;2.799;4
16/01/2021 23:00:00;1.906;4
17/01/2021 00:00:00;1.429;4
17/01/2021 01:00:00;1.543;4
17/01/2021 02:00:00;2.296;4
17/01/2021 03:00:00;3.479;4
17/01/2021 04:00:00;4.579;4
17/01/2021 05:00:00;5.336;4
17/01/2021 06:00:00;5.477;4
17/01/2021 07:00:00;5.249;4
17/01/2021 08:00:00;4.841;4
17/01/2021 09:00:00;4.16;4
17/01/2021 10:00:00;3.204;4
17/01/2021 11:00:00;2.227;4
17/01/2021 12:00:00;1.51;4
17/01/2021 13:00:00;1.3;4
17/01/2021 14:00:00;1.786;4
17/01/2021 15:00:00;2.901;4
17/01/2021 16:00:00;4.042;4
17/01/2021 17:00:00;4.804;4
17/01/2021 18:00:00;5.058;4
17/01/2021 19:00:00;4.903;4
17/01/2021 20:00:00;4.571;4
17/01/2021 21:00:00;4.083;4
17/01/2021 22:00:00;3.404;4
17/01/2021 23:00:00;2.553;4
18/01/2021 00:00:00;1.863;4
18/01/2021 01:00:00;1.57;4
18/01/2021 02:00:00;1.871;4
18/01/2021 03:00:00;2.724;4
18/01/2021 04:00:00;3.819;4
18/01/2021 05:00:00;4.739;4
18/01/2021 06:00:00;5.249;4
18/01/2021 07:00:00;5.254;4
18/01/2021 08:00:00;4.952;4
18/01/2021 09:00:00;4.513;4
18/01/2021 10:00:00;3.864;4
18/01/2021 11:00:00;3.033;4
18/01/2021 12:00:00;2.199;4
18/01/2021 13:00:00;1.672;4
18/01/2021 14:00:00;1.7;4
18/01/2021 15:00:00;2.388;4
18/01/2021 16:00:00;3.45;4
18/01/2021 17:00:00;4.334;4
18/01/2021 18:00:00;4.832;4
18/01/2021 19:00:00;4.878;4
18/01/2021 20:00:00;4.674;4
18/01/2021 21:00:00;4.373;4
18/01/2021 22:00:00;3.91;4
18/01/2021 23:00:00;3.32;4
19/01/2021 00:00:00;2.642;4
19/01/2021 01:00:00;2.101;4
19/01/2021 02:00:00;1.948;4
19/01/2021 03:00:00;2.356;4
19/01/2021 04:00:00;3.241;4
19/01/2021 05:00:00;4.189;4
19/01/2021 06:00:00;4.902;4
19/01/2021 07:00:00;5.182;4
19/01/2021 08:00:00;5.044;4
19/01/2021 09:00:00;4.732;4
19/01/2021 10:00:00;4.331;4
19/01/2021 11:00:00;3.779;4
19/01/2021 12:00:00;3.041;4
19/01/2021 13:00:00;2.351;4
19/01/2021 14:00:00;2.02;4
19/01/2021 15:00:00;2.254;4
19/01/2021 16:00:00;2.99;4
19/01/2021 17:00:00;3.871;4
19/01/2021 18:00:00;4.535;4
19/01/2021 19:00:00;4.823;4
19/01/2021 20:00:00;4.771;4
19/01/2021 21:00:00;4.549;4
19/01/2021 22:00:00;4.286;4
19/01/2021 23:00:00;3.922;4
20/01/2021 00:00:00;3.4;4
20/01/2021 01:00:00;2.808;4
20/01/2021 02:00:00;2.42;4
20/01/2021 03:00:00;2.438;4
20/01/2021 04:00:00;2.91;4
20/01/2021 05:00:00;3.703;4
20/01/2021 06:00:00;4.499;4
20/01/2021 07:00:00;5.005;4
20/01/2021 08:00:00;5.124;4
20/01/2021 09:00:00;4.975;4
20/01/2021 10:00:00;4.794;4
20/01/2021 11:00:00;4.494;4
20/01/2021 12:00:00;3.951;4
20/01/2021 13:00:00;3.301;4
20/01/2021 14:00:00;2.788;4
20/01/2021 15:00:00;2.642;4
20/01/2021 16:00:00;2.975;4
20/01/2021 17:00:00;3.686;4
20/01/2021 18:00:00;4.451;4
20/01/2021 19:00:00;4.948;4
20/01/2021 20:00:00;4.998;4
20/01/2021 21:00:00;4.82;4
